time,open,close,high,low
2020-04-14 11:00:00,1.09439,1.09640,1.09661,1.09415
2020-04-14 12:00:00,1.09641,1.09712,1.09762,1.09566
2020-04-14 13:00:00,1.09712,1.09608,1.09714,1.09554
2020-04-14 14:00:00,1.09608,1.09698,1.09844,1.09605
2020-04-14 15:00:00,1.09699,1.09703,1.09705,1.09551
2020-04-14 16:00:00,1.09703,1.09651,1.09735,1.09618
2020-04-14 17:00:00,1.09651,1.09837,1.09843,1.09642
2020-04-14 18:00:00,1.09836,1.09812,1.09848,1.09708
2020-04-14 19:00:00,1.09811,1.09860,1.09874,1.09786
2020-04-14 20:00:00,1.09860,1.09825,1.09868,1.09799
2020-04-14 21:00:00,1.09825,1.09821,1.09920,1.09793
2020-04-14 22:00:00,1.09823,1.09841,1.09899,1.09823
2020-04-14 23:00:00,1.09841,1.09835,1.09884,1.09835
2020-04-15 00:00:00,1.09834,1.09863,1.09875,1.09808
2020-04-15 01:00:00,1.09864,1.09867,1.09871,1.09809
2020-04-15 02:00:00,1.09867,1.09815,1.09875,1.09803
2020-04-15 03:00:00,1.09816,1.09776,1.09825,1.09746
2020-04-15 04:00:00,1.09775,1.09755,1.09791,1.09736
2020-04-15 05:00:00,1.09751,1.09635,1.09763,1.09631
2020-04-15 06:00:00,1.09635,1.09587,1.09689,1.09571
2020-04-15 07:00:00,1.09587,1.09297,1.09679,1.09287
2020-04-15 08:00:00,1.09298,1.09325,1.09399,1.09206
2020-04-15 09:00:00,1.09326,1.09345,1.09392,1.09264
2020-04-15 10:00:00,1.09344,1.09080,1.09363,1.09034
2020-04-15 11:00:00,1.09080,1.09141,1.09197,1.09042
2020-04-15 12:00:00,1.09142,1.08607,1.09158,1.08567
2020-04-15 13:00:00,1.08607,1.08700,1.08799,1.08594
2020-04-15 14:00:00,1.08700,1.09049,1.09090,1.08677
2020-04-15 15:00:00,1.09049,1.09083,1.09196,1.09002
2020-04-15 16:00:00,1.09083,1.09171,1.09308,1.09027
2020-04-15 17:00:00,1.09169,1.09180,1.09248,1.09117
2020-04-15 18:00:00,1.09181,1.09219,1.09389,1.09164
2020-04-15 19:00:00,1.09219,1.09137,1.09239,1.09106
2020-04-15 20:00:00,1.09138,1.09118,1.09182,1.09093
2020-04-15 21:00:00,1.09118,1.09090,1.09119,1.09067
2020-04-15 22:00:00,1.09090,1.09022,1.09118,1.09016
2020-04-15 23:00:00,1.09021,1.09040,1.09065,1.09003
2020-04-16 00:00:00,1.09040,1.08861,1.09076,1.08820
2020-04-16 01:00:00,1.08862,1.08757,1.08925,1.08756
2020-04-16 02:00:00,1.08757,1.08841,1.08870,1.08757
2020-04-16 03:00:00,1.08841,1.08740,1.08844,1.08732
2020-04-16 04:00:00,1.08739,1.08795,1.08795,1.08649
2020-04-16 05:00:00,1.08795,1.08848,1.08884,1.08740
2020-04-16 06:00:00,1.08848,1.08850,1.09051,1.08795
2020-04-16 07:00:00,1.08847,1.08733,1.08937,1.08648
2020-04-16 08:00:00,1.08734,1.08880,1.08891,1.08685
2020-04-16 09:00:00,1.08880,1.08691,1.08890,1.08584
